Grupo,test,TCNO,Output,Decision
GrupoH,z38,0,NA,TRUE
GrupoH,z39,0,NA,TRUE
GrupoH,z40,0,NA,TRUE
GrupoH,z41,0,NA,TRUE
GrupoH,z42,0,NA,TRUE
GrupoH,z43,0,NA,TRUE
GrupoH,z44,0,NA,TRUE
GrupoH,z45,0,NA,TRUE
GrupoH,z46,0,NA,TRUE
GrupoH,z48,0,NA,TRUE
GrupoH,z49,0,NA,TRUE
GrupoH,z50,0,NA,TRUE
GrupoH,z51,0,NA,TRUE
GrupoH,z52,0,NA,TRUE
GrupoH,z53,0,NA,TRUE
GrupoH,z54,0,NA,TRUE
GrupoH,z55,0,NA,TRUE
GrupoH,z56,0,NA,TRUE
GrupoH,z57,0,NA,TRUE
GrupoH,z58,0,NA,TRUE
GrupoH,z59,0,NA,TRUE
GrupoJ,z00,0,NA,TRUE
GrupoJ,z01,0,NA,TRUE
GrupoJ,z02,0,NA,TRUE
GrupoJ,z03,0,NA,TRUE
GrupoJ,z04,0,NA,TRUE
GrupoJ,z05,0,NA,TRUE
GrupoJ,z06,0,NA,TRUE
GrupoJ,z07,0,NA,TRUE
GrupoJ,z08,0,NA,TRUE
GrupoJ,z09,0,NA,TRUE
GrupoJ,z10,0,NA,TRUE
GrupoJ,z11,0,NA,TRUE
GrupoJ,z12,0,NA,TRUE
GrupoJ,z13,0,NA,TRUE
GrupoJ,z14,0,NA,TRUE
GrupoJ,z15,0,NA,TRUE
GrupoJ,z16,0,NA,TRUE
GrupoJ,z17,0,NA,TRUE
GrupoJ,z18,0,NA,TRUE
GrupoJ,z19,0,NA,TRUE
GrupoJ,z20,0,NA,TRUE
GrupoJ,z21,0,NA,TRUE
GrupoJ,z22,0,NA,TRUE
GrupoJ,z23,0,NA,TRUE
GrupoJ,z24,0,NA,TRUE
GrupoJ,z25,0,NA,TRUE
GrupoJ,z26,0,NA,TRUE
GrupoJ,z27,0,NA,TRUE
GrupoJ,z28,0,NA,TRUE
GrupoJ,z29,0,NA,TRUE
GrupoJ,z30,0,NA,TRUE
GrupoJ,z31,0,NA,TRUE
GrupoJ,z32,0,NA,TRUE
GrupoJ,z33,0,NA,TRUE
GrupoJ,z34,0,NA,TRUE
GrupoJ,z35,0,NA,TRUE
GrupoJ,z36,0,NA,TRUE
GrupoJ,z37,0,NA,TRUE
GrupoJ,z38,0,NA,TRUE
GrupoJ,z39,0,NA,TRUE
GrupoJ,z40,0,NA,TRUE
GrupoJ,z41,0,NA,TRUE
GrupoJ,z42,0,NA,TRUE
GrupoJ,z43,0,NA,TRUE
GrupoJ,z44,0,NA,TRUE
GrupoJ,z45,0,NA,TRUE
GrupoJ,z46,0,NA,TRUE
GrupoJ,z48,0,NA,TRUE
GrupoJ,z49,0,NA,TRUE
GrupoJ,z50,0,NA,TRUE
GrupoJ,z51,0,NA,TRUE
GrupoJ,z52,0,NA,TRUE
GrupoJ,z53,0,NA,TRUE
GrupoJ,z54,0,NA,TRUE
GrupoJ,z55,0,NA,TRUE
GrupoJ,z56,0,NA,TRUE
GrupoJ,z57,0,NA,TRUE
GrupoJ,z58,0,NA,TRUE
GrupoJ,z59,0,NA,TRUE
GrupoK,z00,2,NA,FALSE
GrupoK,z01,2,NA,FALSE
GrupoK,z02,1,NA,FALSE
GrupoK,z03,2,NA,FALSE
GrupoK,z04,0,NA,TRUE
GrupoK,z05,0,NA,TRUE
GrupoK,z06,2,NA,FALSE
GrupoK,z07,1,NA,FALSE
GrupoK,z08,2,NA,FALSE
GrupoK,z09,2,NA,FALSE
GrupoK,z10,0,NA,TRUE
GrupoK,z11,0,NA,TRUE
GrupoK,z12,0,NA,TRUE
GrupoK,z13,0,NA,TRUE
GrupoK,z14,0,NA,TRUE
GrupoK,z15,0,NA,TRUE
GrupoK,z16,0,NA,TRUE
GrupoK,z17,0,NA,TRUE
GrupoK,z18,1,NA,FALSE
GrupoK,z19,1,NA,FALSE
GrupoK,z20,0,NA,TRUE
GrupoK,z21,1,NA,FALSE
GrupoK,z22,0,NA,TRUE
GrupoK,z23,1,NA,FALSE
GrupoK,z24,1,NA,FALSE
GrupoK,z25,0,NA,TRUE
GrupoK,z26,2,NA,FALSE
GrupoK,z27,0,NA,TRUE
GrupoK,z28,0,NA,TRUE
GrupoK,z29,0,NA,TRUE
GrupoK,z30,0,NA,TRUE
GrupoK,z31,0,NA,TRUE
GrupoK,z32,0,NA,TRUE
GrupoK,z33,0,NA,TRUE
GrupoK,z34,0,NA,TRUE
GrupoK,z35,1,NA,FALSE
GrupoK,z36,0,NA,TRUE
GrupoK,z37,0,NA,TRUE
GrupoK,z38,0,NA,TRUE
GrupoK,z39,0,NA,TRUE
GrupoK,z40,0,NA,TRUE
GrupoK,z41,0,NA,TRUE
GrupoK,z42,0,NA,TRUE
GrupoK,z43,0,NA,TRUE
GrupoK,z44,0,NA,TRUE
GrupoK,z45,0,NA,TRUE
GrupoK,z46,0,NA,TRUE
GrupoK,z48,1,NA,FALSE
GrupoK,z49,1,NA,FALSE
GrupoK,z50,1,NA,FALSE
GrupoK,z51,2,NA,FALSE
GrupoK,z52,2,NA,FALSE
GrupoK,z53,0,NA,TRUE
GrupoK,z54,0,NA,TRUE
GrupoK,z55,0,NA,TRUE
GrupoK,z56,2,NA,FALSE
GrupoK,z57,2,NA,FALSE
GrupoK,z58,2,NA,FALSE
GrupoK,z59,2,NA,FALSE
GrupoL,z00,2,NA,FALSE
GrupoL,z01,0,NA,TRUE
GrupoL,z02,0,NA,TRUE
GrupoL,z03,0,NA,TRUE
GrupoL,z04,0,NA,TRUE
GrupoL,z05,0,NA,TRUE
GrupoL,z06,0,NA,TRUE
GrupoL,z07,1,NA,FALSE
GrupoL,z08,0,NA,TRUE
GrupoL,z09,0,NA,TRUE
GrupoL,z10,0,NA,TRUE
GrupoL,z11,0,NA,TRUE
GrupoL,z12,0,NA,TRUE
GrupoL,z13,0,NA,TRUE
GrupoL,z14,0,NA,TRUE
GrupoL,z15,0,NA,TRUE
GrupoL,z16,0,NA,TRUE
GrupoL,z17,0,NA,TRUE
GrupoL,z18,0,NA,TRUE
GrupoL,z19,0,NA,TRUE
GrupoL,z20,0,NA,TRUE
GrupoL,z21,0,NA,TRUE
GrupoL,z22,0,NA,TRUE
GrupoL,z23,0,NA,TRUE
GrupoL,z24,0,NA,TRUE
GrupoL,z25,0,NA,TRUE
GrupoL,z26,0,NA,TRUE
GrupoL,z27,0,NA,TRUE
GrupoL,z28,0,NA,TRUE
GrupoL,z29,0,NA,TRUE
GrupoL,z30,0,NA,TRUE
GrupoL,z31,0,NA,TRUE
GrupoL,z32,0,NA,TRUE
GrupoL,z33,0,NA,TRUE
GrupoL,z34,0,NA,TRUE
GrupoL,z35,0,NA,TRUE
GrupoL,z36,0,NA,TRUE
GrupoL,z37,0,NA,TRUE
GrupoL,z38,0,NA,TRUE
GrupoL,z39,0,NA,TRUE
GrupoL,z40,0,NA,TRUE
GrupoL,z41,0,NA,TRUE
GrupoL,z42,0,NA,TRUE
GrupoL,z43,0,NA,TRUE
GrupoL,z44,0,NA,TRUE
GrupoL,z45,0,NA,TRUE
GrupoL,z46,0,NA,TRUE
GrupoL,z48,0,NA,TRUE
GrupoL,z49,0,NA,TRUE
GrupoL,z50,0,NA,TRUE
GrupoL,z51,0,NA,TRUE
GrupoL,z52,0,NA,TRUE
GrupoL,z53,0,NA,TRUE
GrupoL,z54,0,NA,TRUE
GrupoL,z55,0,NA,TRUE
GrupoL,z56,0,NA,TRUE
GrupoL,z57,0,NA,TRUE
GrupoL,z58,0,NA,TRUE
GrupoL,z59,0,NA,TRUE
GrupoM,z00,2,NA,FALSE
GrupoM,z01,0,NA,TRUE
GrupoM,z02,0,NA,TRUE
GrupoM,z03,0,NA,TRUE
GrupoM,z04,0,NA,TRUE
GrupoM,z05,0,NA,TRUE
GrupoM,z06,0,NA,TRUE
GrupoM,z07,0,NA,TRUE
GrupoM,z08,0,NA,TRUE
GrupoM,z09,0,NA,TRUE
GrupoM,z10,0,NA,TRUE
GrupoM,z11,0,NA,TRUE
GrupoM,z12,0,NA,TRUE
GrupoM,z13,0,NA,TRUE
GrupoM,z14,0,NA,TRUE
GrupoM,z15,0,NA,TRUE
GrupoM,z16,0,NA,TRUE
GrupoM,z17,0,NA,TRUE
GrupoM,z18,0,NA,TRUE
GrupoM,z19,0,NA,TRUE
GrupoM,z20,0,NA,TRUE
GrupoM,z21,0,NA,TRUE
GrupoM,z22,0,NA,TRUE
GrupoM,z23,0,NA,TRUE
GrupoM,z24,0,NA,TRUE
GrupoM,z25,0,NA,TRUE
GrupoM,z26,0,NA,TRUE
GrupoM,z27,0,NA,TRUE
GrupoM,z28,0,NA,TRUE
GrupoM,z29,0,NA,TRUE
GrupoM,z30,0,NA,TRUE
GrupoM,z31,0,NA,TRUE
GrupoM,z32,0,NA,TRUE
GrupoM,z33,0,NA,TRUE
GrupoM,z34,0,NA,TRUE
GrupoM,z35,0,NA,TRUE
GrupoM,z36,0,NA,TRUE
GrupoM,z37,0,NA,TRUE
GrupoM,z38,0,NA,TRUE
GrupoM,z39,0,NA,TRUE
GrupoM,z40,0,NA,TRUE
GrupoM,z41,0,NA,TRUE
GrupoM,z42,0,NA,TRUE
GrupoM,z43,0,NA,TRUE
GrupoM,z44,0,NA,TRUE
GrupoM,z45,0,NA,TRUE
GrupoM,z46,0,NA,TRUE
GrupoM,z48,0,NA,TRUE
GrupoM,z49,0,NA,TRUE
GrupoM,z50,0,NA,TRUE
GrupoM,z51,0,NA,TRUE
GrupoM,z52,0,NA,TRUE
GrupoM,z53,0,NA,TRUE
GrupoM,z54,0,NA,TRUE
GrupoM,z55,0,NA,TRUE
GrupoM,z56,0,NA,TRUE
GrupoM,z57,0,NA,TRUE
GrupoM,z58,0,NA,TRUE
GrupoM,z59,0,NA,TRUE
GrupoN,z00,0,NA,TRUE
GrupoN,z01,139,Segmentation fault,FALSE
GrupoN,z02,139,Segmentation fault,FALSE
GrupoN,z03,139,Segmentation fault,FALSE
GrupoN,z04,139,Segmentation fault,FALSE
GrupoN,z05,139,Segmentation fault,FALSE
GrupoN,z06,139,Segmentation fault,FALSE
GrupoN,z07,139,Segmentation fault,FALSE
GrupoN,z08,139,Segmentation fault,FALSE
GrupoN,z09,139,Segmentation fault,FALSE
GrupoN,z10,139,Segmentation fault,FALSE
GrupoN,z11,139,Segmentation fault,FALSE
GrupoN,z12,139,Segmentation fault,FALSE
GrupoN,z13,139,Segmentation fault,FALSE
GrupoN,z14,139,Segmentation fault,FALSE
GrupoN,z15,139,Segmentation fault,FALSE
