Grupo,test,TCNO,Decision
GrupoO,z51,0,TRUE
GrupoO,z52,0,TRUE
GrupoO,z53,0,TRUE
GrupoO,z54,0,TRUE
GrupoO,z55,0,TRUE
GrupoO,z56,0,TRUE
GrupoO,z57,0,TRUE
GrupoO,z58,0,TRUE
GrupoO,z59,0,TRUE
GrupoP,z00,0,TRUE
GrupoP,z01,0,TRUE
GrupoP,z02,0,TRUE
GrupoP,z03,0,TRUE
GrupoP,z04,0,TRUE
GrupoP,z05,0,TRUE
GrupoP,z06,0,TRUE
GrupoP,z07,0,TRUE
GrupoP,z08,0,TRUE
GrupoP,z09,0,TRUE
GrupoP,z10,0,TRUE
GrupoP,z11,0,TRUE
GrupoP,z12,0,TRUE
GrupoP,z13,0,TRUE
GrupoP,z14,0,TRUE
GrupoP,z15,0,TRUE
GrupoP,z16,0,TRUE
GrupoP,z17,0,TRUE
GrupoP,z18,0,TRUE
GrupoP,z19,0,TRUE
GrupoP,z20,0,TRUE
GrupoP,z21,0,TRUE
GrupoP,z22,0,TRUE
GrupoP,z23,0,TRUE
GrupoP,z24,0,TRUE
GrupoP,z25,0,TRUE
GrupoP,z26,0,TRUE
GrupoP,z27,0,TRUE
GrupoP,z28,0,TRUE
GrupoP,z29,0,TRUE
GrupoP,z30,0,TRUE
GrupoP,z31,0,TRUE
GrupoP,z32,0,TRUE
GrupoP,z33,0,TRUE
GrupoP,z34,0,TRUE
GrupoP,z35,0,TRUE
GrupoP,z36,0,TRUE
GrupoP,z37,0,TRUE
GrupoP,z38,0,TRUE
GrupoP,z39,0,TRUE
